product_id,product_name,category,current_stock,unit,reorder_point,reorder_quantity,unit_cost,lead_time_days,daily_sales_avg
P001,Basmati Rice 5kg,Grains,45,bags,20,50,180,3,4.2
P002,Sunflower Oil 1L,Oils,12,bottles,15,60,95,2,3.8
P003,Wheat Flour 10kg,Grains,8,bags,10,40,220,4,1.5
P004,Sugar 1kg,Sweeteners,55,packs,25,100,48,2,6.1
P005,Tomato Ketchup 500g,Condiments,3,bottles,8,30,65,3,2.2
P006,Milk Powder 500g,Dairy,17,tins,12,40,145,2,2.9
P007,Green Dal 1kg,Pulses,28,packs,15,60,88,3,3.5
P008,Salt 1kg,Spices,60,packs,20,80,22,1,5.0
P009,Coconut Oil 500ml,Oils,6,bottles,10,40,125,2,1.8
P010,Biscuits Assorted,Snacks,22,boxes,30,80,145,1,8.5
P011,Toor Dal 1kg,Pulses,34,packs,15,60,110,3,3.2
P012,Chana Dal 1kg,Pulses,19,packs,12,50,95,3,2.8
P013,Moong Dal 1kg,Pulses,11,packs,12,50,105,3,2.1
P014,Urad Dal 1kg,Pulses,7,packs,10,40,115,3,1.9
P015,Masoor Dal 1kg,Pulses,25,packs,12,50,90,3,2.4
P016,Sona Masoori Rice 5kg,Grains,38,bags,18,45,165,3,3.9
P017,Brown Rice 1kg,Grains,14,packs,8,30,85,3,1.2
P018,Poha 500g,Grains,42,packs,20,60,38,2,4.5
P019,Semolina 500g,Grains,33,packs,15,50,32,2,3.1
P020,Vermicelli 200g,Grains,28,packs,15,60,28,2,3.8
P021,Mustard Oil 1L,Oils,9,bottles,10,40,135,2,2.3
P022,Groundnut Oil 1L,Oils,15,bottles,12,45,105,2,2.7
P023,Olive Oil 500ml,Oils,7,bottles,8,25,320,3,0.9
P024,Ghee 500g,Dairy,18,tins,10,35,480,2,2.1
P025,Butter 100g,Dairy,31,packs,20,80,52,1,5.6
P026,Paneer 200g,Dairy,24,packs,15,50,68,1,4.8
P027,Curd 400g,Dairy,40,cups,25,100,32,1,7.2
P028,Cheese Slices 200g,Dairy,13,packs,10,40,95,1,2.4
P029,Skimmed Milk Powder 500g,Dairy,9,packs,8,30,175,2,1.6
P030,Condensed Milk 400g,Dairy,16,tins,10,35,88,2,2.0
P031,Red Chilli Powder 200g,Spices,52,packs,25,80,45,2,5.8
P032,Turmeric Powder 200g,Spices,48,packs,25,80,38,2,5.2
P033,Coriander Powder 200g,Spices,39,packs,20,70,42,2,4.4
P034,Cumin Seeds 100g,Spices,44,packs,20,70,55,2,4.1
P035,Mustard Seeds 100g,Spices,37,packs,18,65,28,2,3.7
P036,Garam Masala 100g,Spices,29,packs,15,55,72,2,3.0
P037,Kitchen King Masala 100g,Spices,22,packs,12,50,68,2,2.5
P038,Chicken Masala 100g,Spices,18,packs,12,45,75,2,2.2
P039,Biryani Masala 50g,Spices,14,packs,10,40,55,2,1.8
P040,Chaat Masala 100g,Spices,26,packs,15,50,48,2,2.9
P041,Cardamom 50g,Spices,11,packs,8,30,145,3,1.1
P042,Black Pepper 100g,Spices,17,packs,10,35,125,3,1.7
P043,Cloves 50g,Spices,9,packs,8,30,165,3,0.8
P044,Cinnamon 50g,Spices,13,packs,8,30,95,3,1.2
P045,Bay Leaves 20g,Spices,35,packs,15,50,22,2,2.8
P046,Tomato Puree 200g,Condiments,27,packs,15,55,38,2,3.3
P047,Green Chilli Sauce 200g,Condiments,19,bottles,10,40,55,2,2.1
P048,Soy Sauce 200ml,Condiments,16,bottles,10,35,65,2,1.9
P049,Vinegar 500ml,Condiments,22,bottles,12,45,32,2,2.0
P050,Mayonnaise 300g,Condiments,11,jars,8,30,85,2,1.5
P051,Mustard Sauce 200g,Condiments,8,bottles,8,30,48,2,1.3
P052,Mixed Pickle 500g,Condiments,14,jars,8,30,72,3,1.6
P053,Mango Pickle 500g,Condiments,20,jars,10,35,65,3,2.2
P054,Lemon Pickle 300g,Condiments,12,jars,8,30,55,3,1.4
P055,Tamarind Paste 200g,Condiments,18,packs,10,40,42,2,2.0
P056,Digestive Biscuits 200g,Snacks,35,packs,20,70,45,1,5.8
P057,Cream Crackers 200g,Snacks,28,packs,18,60,42,1,4.2
P058,Glucose Biscuits 100g,Snacks,55,packs,30,90,18,1,8.5
P059,Marie Biscuits 200g,Snacks,42,packs,25,80,38,1,6.1
P060,Namkeen Mix 200g,Snacks,38,packs,20,70,48,1,5.5
P061,Potato Chips 100g,Snacks,50,packs,30,100,32,1,9.2
P062,Popcorn Butter 100g,Snacks,24,packs,15,55,28,1,4.0
P063,Roasted Peanuts 200g,Snacks,31,packs,18,65,35,1,4.8
P064,Cashew Nuts 200g,Snacks,14,packs,10,35,185,2,1.9
P065,Almonds 200g,Snacks,11,packs,8,30,245,2,1.5
P066,Raisins 200g,Snacks,19,packs,10,40,88,2,2.3
P067,Walnuts 200g,Snacks,8,packs,8,25,320,3,0.9
P068,Pistachios 100g,Snacks,6,packs,6,20,285,3,0.7
P069,Date Fruits 500g,Snacks,15,packs,8,30,125,3,1.6
P070,Dried Figs 200g,Snacks,9,packs,6,20,175,3,0.8
P071,Cornflakes 500g,Breakfast,23,boxes,12,40,95,2,2.8
P072,Oats 500g,Breakfast,31,packs,18,55,72,2,3.5
P073,Muesli 500g,Breakfast,14,packs,8,30,145,2,1.7
P074,Upma Mix 200g,Breakfast,27,packs,15,50,38,2,3.1
